runtime,in01,in02,in03,in04
4480,28,60,0,36
941,26,50,0,25
2342,38.5,80,0,80
947,38,45,0,19
750,37.9,30,0,-4.3
5217,38,60,0,43
1082,38.3,82.69,12.69,72.81
6550,38.7,82.69,12.69,84.1
2559,39,45,0,20
880,38.1,82.69,12.69,75.4
3011,15,82.69,12.69,75.4
1597,35,80,0,120
2242,20,10,-90,0
3163,37.8,0,0,-49.1
1320,38.7,115,12.69,100
884,38.7,100,12.69,84.1
1504,38.7,82.69,12.69,75.9
4083,38.7,70,0,62.4
4581,38.2,88,8,86
1939,37.7,30,0,-1
3641,16.7,90,19,0
2923,37.5,0,0,-59
2365,38,45,0,-30
360,38.5,-40,0,-101.58
1275,38.5,90,0,118.768
770,38,82.69,12.69,71.6
1051,38.0552,-90,0,91.95
3269,38.7,82.69,13.49,84.1
5704,38.09,-119.91,0,56.72
3385,39,-150,180,-170
1003,37.69,0,0,-59.15
474,32.46,3.75,0,0
482,38.3,82.69,12.69,74.5
1441,39,110,0,135
2720,38.7,74,0,70.14
1151,37.5,90,0,98
2428,38,90,90,42.836
5456,36.7,102.69,12.69,92.1
5487,30,180,12.69,84.1
1189,38,-112.5,0,53
958,26,49,0,25
9242,37.7,95,25,100
749,38,45,0,22.25
1886,38,72.69,12.68,54.5
2876,38.0559,-90,0,92
9562,37.8,-15,0,-68
438,39,65.14,0,55
163,30.7,90,0,97.162
7380,38.1,82.7,12.7,72.8
5899,38.5,80,0,82
3895,38,-180,-180,114
13318,38.7,82.69,12.69,83.5
4152,38.5,90,0,102.1
2538,38.7,82.69,12.69,84.1
723,37.82,15,15,-41.45
3713,38.5,90.5,12.69,84.1
4459,35.7,83.69,15.69,71.1
736,38.7,82.69,12.69,84.1
